,apache/echarts,highcharts/highcharts,plotly/plotly.js
2013-11-30,0.0,0,2
2013-12-01,0.0,0,3
2013-12-02,0.0,6,22
2013-12-03,0.0,2,7
2013-12-04,0.0,5,2
2013-12-05,0.0,5,4
2013-12-06,0.0,1,5
2013-12-07,0.0,1,4
2013-12-08,0.0,0,5
2013-12-09,0.0,10,10
2013-12-10,8.0,2,11
2013-12-11,3.0,4,16
2013-12-12,3.0,5,6
2013-12-13,5.0,5,14
2013-12-14,0.0,0,3
2013-12-15,0.0,0,4
2013-12-16,4.0,11,8
2013-12-17,1.0,2,1
2013-12-18,5.0,2,3
2013-12-19,7.0,3,13
2013-12-20,3.0,3,7
2013-12-21,0.0,0,1
2013-12-22,0.0,0,0
2013-12-23,2.0,0,1
2013-12-24,4.0,0,3
2013-12-25,1.0,0,0
2013-12-26,1.0,0,0
2013-12-27,2.0,0,5
2013-12-28,0.0,0,0
2013-12-29,0.0,0,7
2013-12-30,2.0,0,14
2013-12-31,1.0,0,7
2014-01-01,0.0,0,0
2014-01-02,4.0,7,14
2014-01-03,2.0,4,6
2014-01-04,0.0,0,14
2014-01-05,0.0,0,0
2014-01-06,2.0,0,7
2014-01-07,3.0,4,7
2014-01-08,1.0,12,4
2014-01-09,7.0,7,7
2014-01-10,0.0,8,5
2014-01-11,0.0,0,0
2014-01-12,0.0,2,0
2014-01-13,6.0,12,0
2014-01-14,6.0,5,3
2014-01-15,4.0,17,5
2014-01-16,2.0,6,5
2014-01-17,3.0,5,10
2014-01-18,0.0,0,3
2014-01-19,0.0,0,2
2014-01-20,5.0,5,18
2014-01-21,0.0,1,8
2014-01-22,7.0,1,31
2014-01-23,12.0,1,14
2014-01-24,0.0,1,8
2014-01-25,0.0,0,10
2014-01-26,1.0,0,6
2014-01-27,5.0,5,5
2014-01-28,0.0,8,7
2014-01-29,0.0,11,8
2014-01-30,0.0,6,11
2014-01-31,0.0,3,12
2014-02-01,0.0,0,2
2014-02-02,0.0,0,7
2014-02-03,0.0,5,3
2014-02-04,0.0,3,19
2014-02-05,0.0,7,12
2014-02-06,0.0,4,15
2014-02-07,0.0,8,12
2014-02-08,0.0,0,5
2014-02-09,0.0,0,5
2014-02-10,2.0,10,1
2014-02-11,0.0,12,2
2014-02-12,0.0,4,6
2014-02-13,0.0,4,6
2014-02-14,0.0,1,14
2014-02-15,0.0,0,2
2014-02-16,0.0,0,0
2014-02-17,6.0,5,4
2014-02-18,0.0,3,0
2014-02-19,3.0,4,3
2014-02-20,0.0,5,8
2014-02-21,0.0,15,14
2014-02-22,0.0,2,1
2014-02-23,0.0,1,5
2014-02-24,4.0,6,12
2014-02-25,5.0,8,12
2014-02-26,0.0,1,11
2014-02-27,0.0,9,9
2014-02-28,5.0,14,11
2014-03-01,2.0,0,5
2014-03-02,0.0,0,1
2014-03-03,8.0,5,15
2014-03-04,7.0,10,4
2014-03-05,5.0,5,3
2014-03-06,5.0,11,9
2014-03-07,2.0,1,2
2014-03-08,0.0,1,2
2014-03-09,1.0,7,5
2014-03-10,3.0,13,9
2014-03-11,6.0,8,0
2014-03-12,1.0,8,9
2014-03-13,5.0,8,6
2014-03-14,4.0,7,7
2014-03-15,0.0,0,0
2014-03-16,6.0,1,0
2014-03-17,17.0,11,2
2014-03-18,5.0,7,0
2014-03-19,7.0,2,0
2014-03-20,3.0,4,1
2014-03-21,8.0,0,1
2014-03-22,0.0,3,7
2014-03-23,0.0,0,1
2014-03-24,5.0,8,0
2014-03-25,8.0,5,0
2014-03-26,3.0,5,0
2014-03-27,0.0,6,1
2014-03-28,0.0,9,3
2014-03-29,0.0,0,2
2014-03-30,0.0,0,0
2014-03-31,14.0,0,2
2014-04-01,11.0,5,1
2014-04-02,4.0,4,2
2014-04-03,0.0,14,3
2014-04-04,2.0,2,4
2014-04-05,0.0,0,0
2014-04-06,0.0,3,2
2014-04-07,3.0,16,2
2014-04-08,2.0,10,1
2014-04-09,0.0,7,0
2014-04-10,0.0,5,16
2014-04-11,0.0,15,5
2014-04-12,0.0,4,14
2014-04-13,0.0,2,2
2014-04-14,3.0,9,6
2014-04-15,2.0,3,1
2014-04-16,0.0,1,2
2014-04-17,2.0,0,8
2014-04-18,13.0,0,23
2014-04-19,0.0,0,11
2014-04-20,0.0,0,0
2014-04-21,5.0,0,16
2014-04-22,27.0,16,8
2014-04-23,4.0,12,22
2014-04-24,14.0,13,16
2014-04-25,5.0,6,15
2014-04-26,0.0,0,6
2014-04-27,0.0,0,2
2014-04-28,8.0,11,19
2014-04-29,6.0,4,9
2014-04-30,5.0,19,16
2014-05-01,0.0,0,22
2014-05-02,0.0,2,14
2014-05-03,0.0,1,0
2014-05-04,14.0,0,3
2014-05-05,11.0,3,13
2014-05-06,0.0,11,6
2014-05-07,0.0,10,17
2014-05-08,0.0,11,19
2014-05-09,1.0,5,15
2014-05-10,0.0,0,8
2014-05-11,0.0,0,0
2014-05-12,4.0,12,8
2014-05-13,2.0,8,17
2014-05-14,4.0,15,26
2014-05-15,4.0,9,11
2014-05-16,6.0,4,9
2014-05-17,0.0,1,8
2014-05-18,0.0,0,0
2014-05-19,4.0,10,0
2014-05-20,0.0,4,11
2014-05-21,0.0,4,6
2014-05-22,1.0,2,8
2014-05-23,0.0,1,13
2014-05-24,0.0,0,7
2014-05-25,1.0,0,0
2014-05-26,3.0,3,5
2014-05-27,4.0,5,7
2014-05-28,4.0,5,12
2014-05-29,8.0,3,6
2014-05-30,4.0,6,6
2014-05-31,0.0,0,2
2014-06-01,0.0,0,0
2014-06-02,0.0,5,3
2014-06-03,7.0,3,12
2014-06-04,5.0,5,9
2014-06-05,10.0,8,6
2014-06-06,4.0,6,18
2014-06-07,0.0,0,2
2014-06-08,0.0,0,1
2014-06-09,1.0,1,11
2014-06-10,4.0,8,10
2014-06-11,5.0,3,12
2014-06-12,7.0,13,22
2014-06-13,3.0,10,3
2014-06-14,0.0,0,0
2014-06-15,0.0,0,3
2014-06-16,3.0,3,4
2014-06-17,4.0,5,7
2014-06-18,0.0,1,17
2014-06-19,0.0,0,7
2014-06-20,0.0,0,4
2014-06-21,0.0,0,2
2014-06-22,1.0,0,0
2014-06-23,15.0,4,8
2014-06-24,25.0,3,2
2014-06-25,1.0,3,9
2014-06-26,4.0,6,12
2014-06-27,14.0,2,4
2014-06-28,12.0,0,9
2014-06-29,1.0,0,2
2014-06-30,3.0,8,9
2014-07-01,0.0,6,5
2014-07-02,2.0,0,6
2014-07-03,0.0,1,9
2014-07-04,6.0,1,5
2014-07-05,0.0,0,1
2014-07-06,0.0,0,0
2014-07-07,0.0,7,3
2014-07-08,5.0,0,9
2014-07-09,0.0,1,7
2014-07-10,2.0,1,6
2014-07-11,0.0,3,2
2014-07-12,0.0,0,2
2014-07-13,0.0,0,1
2014-07-14,5.0,0,4
2014-07-15,2.0,0,6
2014-07-16,8.0,1,9
2014-07-17,10.0,0,3
2014-07-18,0.0,0,5
2014-07-19,0.0,0,3
2014-07-20,0.0,0,1
2014-07-21,0.0,0,10
2014-07-22,8.0,1,10
2014-07-23,7.0,2,15
2014-07-24,10.0,0,9
2014-07-25,4.0,0,3
2014-07-26,0.0,0,1
2014-07-27,0.0,0,1
2014-07-28,1.0,1,1
2014-07-29,1.0,0,1
2014-07-30,2.0,0,0
2014-07-31,0.0,1,7
2014-08-01,0.0,7,5
2014-08-02,0.0,0,6
2014-08-03,0.0,0,2
2014-08-04,0.0,7,2
2014-08-05,0.0,4,2
2014-08-06,1.0,5,1
2014-08-07,3.0,2,10
2014-08-08,0.0,1,2
2014-08-09,0.0,0,1
2014-08-10,0.0,0,0
2014-08-11,2.0,6,4
2014-08-12,0.0,3,2
2014-08-13,4.0,4,6
2014-08-14,1.0,4,14
2014-08-15,2.0,7,3
2014-08-16,0.0,1,4
2014-08-17,0.0,0,0
2014-08-18,0.0,5,1
2014-08-19,1.0,6,5
2014-08-20,1.0,7,4
2014-08-21,0.0,5,6
2014-08-22,0.0,4,9
2014-08-23,0.0,0,10
2014-08-24,0.0,0,14
2014-08-25,0.0,2,16
2014-08-26,1.0,4,17
2014-08-27,0.0,0,8
2014-08-28,9.0,4,16
2014-08-29,1.0,2,9
2014-08-30,0.0,0,0
2014-08-31,0.0,0,8
2014-09-01,2.0,6,3
2014-09-02,4.0,9,6
2014-09-03,5.0,5,14
2014-09-04,8.0,4,12
2014-09-05,9.0,3,9
2014-09-06,0.0,0,1
2014-09-07,1.0,0,6
2014-09-08,0.0,8,13
2014-09-09,3.0,3,13
2014-09-10,27.0,3,9
2014-09-11,4.0,6,4
2014-09-12,0.0,10,2
2014-09-13,0.0,0,1
2014-09-14,0.0,0,0
2014-09-15,2.0,9,4
2014-09-16,0.0,6,19
2014-09-17,2.0,11,3
2014-09-18,0.0,6,11
2014-09-19,0.0,8,4
2014-09-20,0.0,2,11
2014-09-21,0.0,0,0
2014-09-22,1.0,8,11
2014-09-23,6.0,1,5
2014-09-24,5.0,1,1
2014-09-25,2.0,2,4
2014-09-26,2.0,4,5
2014-09-27,1.0,0,0
2014-09-28,2.0,1,0
2014-09-29,5.0,3,9
2014-09-30,0.0,4,10
2014-10-01,0.0,0,11
2014-10-02,0.0,6,12
2014-10-03,1.0,4,18
2014-10-04,1.0,0,1
2014-10-05,0.0,0,9
2014-10-06,0.0,0,8
2014-10-07,1.0,1,8
2014-10-08,2.0,2,4
2014-10-09,5.0,5,6
2014-10-10,1.0,0,8
2014-10-11,0.0,0,1
2014-10-12,3.0,0,9
2014-10-13,0.0,6,2
2014-10-14,1.0,2,10
2014-10-15,1.0,1,25
2014-10-16,0.0,1,4
2014-10-17,0.0,0,11
2014-10-18,0.0,0,6
2014-10-19,0.0,0,15
2014-10-20,0.0,1,30
2014-10-21,3.0,5,17
2014-10-22,4.0,1,30
2014-10-23,4.0,5,13
2014-10-24,3.0,4,21
2014-10-25,0.0,0,7
2014-10-26,0.0,0,12
2014-10-27,7.0,5,9
2014-10-28,8.0,0,10
2014-10-29,6.0,3,6
2014-10-30,20.0,2,1
2014-10-31,1.0,1,15
2014-11-01,0.0,0,1
2014-11-02,0.0,0,4
2014-11-03,11.0,11,13
2014-11-04,6.0,7,18
2014-11-05,5.0,4,23
2014-11-06,22.0,3,27
2014-11-07,3.0,5,38
2014-11-08,0.0,0,4
2014-11-09,0.0,0,10
2014-11-10,25.0,9,17
2014-11-11,3.0,9,14
2014-11-12,1.0,4,14
2014-11-13,9.0,3,16
2014-11-14,5.0,0,11
2014-11-15,0.0,0,8
2014-11-16,0.0,0,1
2014-11-17,1.0,0,10
2014-11-18,5.0,3,12
2014-11-19,1.0,6,10
2014-11-20,2.0,1,2
2014-11-21,2.0,0,7
2014-11-22,0.0,0,7
2014-11-23,0.0,0,4
2014-11-24,0.0,2,8
2014-11-25,0.0,7,8
2014-11-26,0.0,2,5
2014-11-27,2.0,3,13
2014-11-28,0.0,2,20
2014-11-29,0.0,0,1
2014-11-30,0.0,0,3
2014-12-01,0.0,2,15
2014-12-02,0.0,4,15
2014-12-03,17.0,4,10
2014-12-04,10.0,5,41
2014-12-05,1.0,3,18
2014-12-06,0.0,0,1
2014-12-07,0.0,0,0
2014-12-08,6.0,6,16
2014-12-09,0.0,7,9
2014-12-10,1.0,8,7
2014-12-11,3.0,7,13
2014-12-12,1.0,6,23
2014-12-13,0.0,0,2
2014-12-14,0.0,0,0
2014-12-15,0.0,6,27
2014-12-16,0.0,6,9
2014-12-17,0.0,7,8
2014-12-18,0.0,1,6
2014-12-19,4.0,2,4
2014-12-20,0.0,0,2
2014-12-21,0.0,0,2
2014-12-22,5.0,1,13
2014-12-23,7.0,1,4
2014-12-24,8.0,0,3
2014-12-25,3.0,0,7
2014-12-26,7.0,0,0
2014-12-27,0.0,0,0
2014-12-28,0.0,0,0
2014-12-29,1.0,0,3
2014-12-30,0.0,0,1
2014-12-31,0.0,0,5
2015-01-01,0.0,0,0
2015-01-02,0.0,0,0
2015-01-03,0.0,0,1
2015-01-04,19.0,0,3
2015-01-05,1.0,0,4
2015-01-06,1.0,4,5
2015-01-07,2.0,7,6
2015-01-08,2.0,2,21
2015-01-09,15.0,5,29
2015-01-10,0.0,0,9
2015-01-11,0.0,0,0
2015-01-12,4.0,4,1
2015-01-13,0.0,18,7
2015-01-14,3.0,12,6
2015-01-15,7.0,10,6
2015-01-16,4.0,8,11
2015-01-17,0.0,0,7
2015-01-18,1.0,0,0
2015-01-19,5.0,3,0
2015-01-20,7.0,1,3
2015-01-21,2.0,7,3
2015-01-22,8.0,5,16
2015-01-23,0.0,5,6
2015-01-24,0.0,0,2
2015-01-25,3.0,0,1
2015-01-26,9.0,3,7
2015-01-27,6.0,3,6
2015-01-28,10.0,2,13
2015-01-29,8.0,0,16
2015-01-30,5.0,0,22
2015-01-31,1.0,0,1
2015-02-01,0.0,0,2
2015-02-02,4.0,7,22
2015-02-03,7.0,9,28
2015-02-04,2.0,20,28
2015-02-05,3.0,7,8
2015-02-06,1.0,0,11
2015-02-07,1.0,0,1
2015-02-08,0.0,0,2
2015-02-09,0.0,15,9
2015-02-10,1.0,1,22
2015-02-11,0.0,11,9
2015-02-12,3.0,12,14
2015-02-13,1.0,2,26
2015-02-14,2.0,0,1
2015-02-15,1.0,0,0
2015-02-16,1.0,24,11
2015-02-17,1.0,12,14
2015-02-18,0.0,15,18
2015-02-19,0.0,9,18
2015-02-20,0.0,9,20
2015-02-21,1.0,0,4
2015-02-22,0.0,0,3
2015-02-23,0.0,11,25
2015-02-24,0.0,10,30
2015-02-25,0.0,3,34
2015-02-26,0.0,4,39
2015-02-27,7.0,23,15
2015-02-28,1.0,2,12
2015-03-01,0.0,3,7
2015-03-02,0.0,14,19
2015-03-03,0.0,10,4
2015-03-04,5.0,0,4
2015-03-05,3.0,43,10
2015-03-06,1.0,8,2
2015-03-07,1.0,1,0
2015-03-08,2.0,1,0
2015-03-09,1.0,10,3
2015-03-10,0.0,10,5
2015-03-11,8.0,7,7
2015-03-12,7.0,0,4
2015-03-13,0.0,6,16
2015-03-14,2.0,0,2
2015-03-15,0.0,4,5
2015-03-16,0.0,3,19
2015-03-17,1.0,6,14
2015-03-18,1.0,14,19
2015-03-19,0.0,0,3
2015-03-20,2.0,2,5
2015-03-21,1.0,0,1
2015-03-22,0.0,0,0
2015-03-23,2.0,6,5
2015-03-24,4.0,3,6
2015-03-25,2.0,7,5
2015-03-26,1.0,4,0
2015-03-27,4.0,7,5
2015-03-28,0.0,0,0
2015-03-29,0.0,0,0
2015-03-30,1.0,5,4
2015-03-31,0.0,9,14
2015-04-01,0.0,3,13
2015-04-02,0.0,0,18
2015-04-03,0.0,0,8
2015-04-04,0.0,0,0
2015-04-05,0.0,0,7
2015-04-06,0.0,1,15
2015-04-07,0.0,7,11
2015-04-08,0.0,10,5
2015-04-09,3.0,8,11
2015-04-10,0.0,9,19
2015-04-11,0.0,0,3
2015-04-12,0.0,0,2
2015-04-13,0.0,10,10
2015-04-14,1.0,6,13
2015-04-15,1.0,2,17
2015-04-16,0.0,6,7
2015-04-17,0.0,2,9
2015-04-18,0.0,0,2
2015-04-19,0.0,0,4
2015-04-20,1.0,7,10
2015-04-21,1.0,13,16
2015-04-22,2.0,11,26
2015-04-23,6.0,1,19
2015-04-24,0.0,0,22
2015-04-25,0.0,0,10
2015-04-26,0.0,0,2
2015-04-27,1.0,32,19
2015-04-28,2.0,11,30
2015-04-29,13.0,14,15
2015-04-30,0.0,2,11
2015-05-01,0.0,0,10
2015-05-02,0.0,0,0
2015-05-03,0.0,0,0
2015-05-04,1.0,11,9
2015-05-05,0.0,44,26
2015-05-06,0.0,22,19
2015-05-07,4.0,7,26
2015-05-08,1.0,2,20
2015-05-09,0.0,0,0
2015-05-10,0.0,0,4
2015-05-11,0.0,10,25
2015-05-12,4.0,2,26
2015-05-13,0.0,5,26
2015-05-14,0.0,0,26
2015-05-15,1.0,1,26
2015-05-16,0.0,3,2
2015-05-17,0.0,0,2
2015-05-18,0.0,4,2
2015-05-19,2.0,4,6
2015-05-20,4.0,7,11
2015-05-21,0.0,4,15
2015-05-22,1.0,1,29
2015-05-23,0.0,0,18
2015-05-24,0.0,0,4
2015-05-25,1.0,0,32
2015-05-26,3.0,13,24
2015-05-27,12.0,10,39
2015-05-28,4.0,4,48
2015-05-29,12.0,5,32
2015-05-30,0.0,0,5
2015-05-31,1.0,0,1
2015-06-01,3.0,14,25
2015-06-02,0.0,15,18
2015-06-03,0.0,11,24
2015-06-04,0.0,6,51
2015-06-05,0.0,2,10
2015-06-06,0.0,0,22
2015-06-07,0.0,0,5
2015-06-08,2.0,0,15
2015-06-09,1.0,5,48
2015-06-10,0.0,12,30
2015-06-11,0.0,9,40
2015-06-12,1.0,11,19
2015-06-13,0.0,0,8
2015-06-14,0.0,0,0
2015-06-15,0.0,7,26
2015-06-16,2.0,8,17
2015-06-17,5.0,11,27
2015-06-18,2.0,0,16
2015-06-19,7.0,0,5
2015-06-20,0.0,0,0
2015-06-21,0.0,0,0
2015-06-22,0.0,7,7
2015-06-23,1.0,14,8
2015-06-24,5.0,28,0
2015-06-25,2.0,9,2
2015-06-26,0.0,8,11
2015-06-27,1.0,0,0
2015-06-28,0.0,0,3
2015-06-29,12.0,24,12
2015-06-30,2.0,11,3
2015-07-01,3.0,4,6
2015-07-02,2.0,11,20
2015-07-03,0.0,11,17
2015-07-04,0.0,0,0
2015-07-05,0.0,0,0
2015-07-06,0.0,3,16
2015-07-07,0.0,4,16
2015-07-08,0.0,11,18
2015-07-09,6.0,8,27
2015-07-10,0.0,3,19
2015-07-11,0.0,0,1
2015-07-12,0.0,0,1
2015-07-13,0.0,1,12
2015-07-14,8.0,0,24
2015-07-15,7.0,0,11
2015-07-16,1.0,0,23
2015-07-17,0.0,0,11
2015-07-18,0.0,0,3
2015-07-19,1.0,0,0
2015-07-20,0.0,0,37
2015-07-21,0.0,0,24
2015-07-22,3.0,0,13
2015-07-23,0.0,0,13
2015-07-24,1.0,0,28
2015-07-25,0.0,0,3
2015-07-26,0.0,0,1
2015-07-27,0.0,0,17
2015-07-28,2.0,0,14
2015-07-29,0.0,0,11
2015-07-30,0.0,1,18
